table,experiment_id,status,architecture,dataset,time_steps,target,method,clean_top1,injected_top1,drop_top1,acc5,local_mse,local_cosine,logit_kl,logit_mse,hit_rate,fallback_rate,spike_sparsity,supported_entries,memory_kib,trainable_params,source,role
main,qkf_c10_t1_current_alpha0,completed_preliminary,QKFormer,CIFAR-10,1,stage1.0.tssa,clean_hook_passthrough,94.6289,94.6289,0.0000,,0.062007,0.741607,0.000000,0.000000,1.0000,0.0000,0.906544,2048,8.0,0,results/qkformer_current_unit_probe_20260617_125153_valid/summary.csv,clean current-hook sanity
main,qkf_c10_t1_current_static,completed_preliminary,QKFormer,CIFAR-10,1,stage1.0.tssa,static_aligned_lut_hard,94.6289,93.8965,0.7324,,0.062007,0.741607,0.065194,0.143005,1.0000,0.0000,0.906544,2048,8.0,0,results/qkformer_current_unit_probe_20260617_125153_valid/summary.csv,static LUT baseline
main,qkf_c10_t1_current_moment,completed_preliminary,QKFormer,CIFAR-10,1,stage1.0.tssa,moment_matched_lut_hard,94.6289,94.5801,0.0488,,0.047945,0.825862,0.045614,0.096126,1.0000,0.0000,0.906544,2048,8.0,0,results/qkformer_current_unit_probe_20260617_125153_valid/summary.csv,QKFormer near-lossless motivation
main,spik_c10_t4_boundary,completed_boundary,Spikformer-4-384w,CIFAR-10,4,SSA current,current_learned_temporal_channel_gate_hard,88.1600,76.2800,11.8800,,,,,,,,,,,3088,results/spikformer_boundary_result_20260617/summary.csv,T>1 temporal-channel mismatch boundary
main,qkf_c100_t1_clean,completed,QKFormer,CIFAR-100,1,stage1.0.tssa,qkformer_current_alpha_0,77.6900,77.6900,0.0000,,0.054270,0.755409,0.000000,0.000000,1.0000,0.0000,0.907224,2048,8.0,0,results/qk_lutformer_cifar100_component_20260621_071630/matrix_summary.csv,completed full-validation clean hook
main,qkf_c100_t1_static,completed,QKFormer,CIFAR-100,1,stage1.0.tssa,qkformer_current_static_aligned_lut_hard,77.6900,75.9400,1.7500,,0.054270,0.755409,0.237316,0.263752,1.0000,0.0000,0.907224,2048,8.0,0,results/qk_lutformer_cifar100_component_20260621_071630/matrix_summary.csv,completed full-validation static LUT
main,qkf_c100_t1_moment,completed,QKFormer,CIFAR-100,1,stage1.0.tssa,qkformer_current_moment_matched_lut_hard,77.6900,77.5700,0.1200,,0.040099,0.840765,0.184680,0.195552,1.0000,0.0000,0.907224,2048,8.0,0,results/qk_lutformer_cifar100_component_20260621_071630/matrix_summary.csv,completed full-validation moment LUT
main,qkf_c100_t1_temporal,completed,QKFormer,CIFAR-100,1,stage1.0.tssa,qkformer_current_temporal_matched_lut_hard,77.6900,64.0200,13.6700,,0.380513,0.733245,0.582280,0.654607,1.0000,0.0000,0.907224,2048,8.0,0,results/qk_lutformer_cifar100_component_20260621_071630/matrix_summary.csv,completed full-validation temporal-only LUT
main,qkf_c100_t1_channel,completed,QKFormer,CIFAR-100,1,stage1.0.tssa,qkformer_current_channel_matched_lut_hard,77.6900,77.5700,0.1200,,0.040099,0.840765,0.184680,0.195552,1.0000,0.0000,0.907224,2048,8.0,0,results/qk_lutformer_cifar100_component_20260621_071630/matrix_summary.csv,completed full-validation channel LUT
main,qkf_c100_t1_tcslu,completed,QKFormer,CIFAR-100,1,stage1.0.tssa,qkformer_current_tcslu_moment_temporal_channel_backoff_hard,77.6900,77.5700,0.1200,,0.040099,0.840765,0.184680,0.195552,1.0000,0.0000,0.907224,2048,8.0,0,results/qk_lutformer_cifar100_component_20260621_071630/matrix_summary.csv,completed full-validation TCSLU
main,qkf_c100_t4_clean,completed,QKFormer,CIFAR-100,4,stage1.0.tssa,qkformer_current_alpha_0,81.0900,81.0900,0.0000,,0.033518,0.836147,0.000000,0.000000,1.0000,0.0000,0.930798,2048,8.0,0,results/tcslu_qkf_c100_t4_full_20260618_104512/summary.csv,completed full-validation clean hook
main,qkf_c100_t4_static,completed,QKFormer,CIFAR-100,4,stage1.0.tssa,qkformer_current_static_aligned_lut_hard,81.0900,68.0200,13.0700,,0.033518,0.836147,0.418831,0.585462,1.0000,0.0000,0.930798,2048,8.0,0,results/tcslu_qkf_c100_t4_full_20260618_104512/summary.csv,completed full-validation static LUT
main,qkf_c100_t4_moment,completed,QKFormer,CIFAR-100,4,stage1.0.tssa,qkformer_current_moment_matched_lut_hard,81.0900,80.6500,0.4400,,0.014533,0.934874,0.101561,0.118868,1.0000,0.0000,0.930798,2048,8.0,0,results/tcslu_qkf_c100_t4_full_20260618_104512/summary.csv,completed full-validation moment LUT
main,qkf_c100_t4_temporal,completed,QKFormer,CIFAR-100,4,stage1.0.tssa,qkformer_current_temporal_matched_lut_hard,81.0900,46.9700,34.1200,,0.523119,0.834882,1.039636,1.081966,1.0000,0.0000,0.930798,2048,8.0,0,results/tcslu_qkf_c100_t4_full_20260618_104512/summary.csv,completed full-validation temporal-only LUT
